HelpPosition	DepVar	HelpClass	HelpInflection	VerbLemma	InterveningWords	ObjPresent	ObjPronoun	ObjLength	ObjHead
17165	NA	VERB	VB		0	NA	NA	NA	NA
17277	NA	VERB	VB		0	NA	NA	NA	NA
17381	ING	VERB	VB	think	0	No	NA	NA	NA
17483	ING	VERB	VB	say	0	No	NA	NA	NA
17518	ING	VERB	VB	ask	0	No	NA	NA	NA
17585	ING	VERB	VB	ask	0	No	NA	NA	NA
17686	TO	VERB	VB	lift	0	No	NA	NA	NA
17788	ING	VERB	VB	recall	0	No	NA	NA	NA
17897	ING	VERB	VB	listen	0	No	NA	NA	NA
18008	ING	VERB	VB	think	0	No	NA	NA	NA
18113	NA	VERB	VB		0	NA	NA	NA	NA
18216	ING	VERB	VB	notice	0	No	NA	NA	NA
18317	NA	VERB	VB		0	NA	NA	NA	NA
18417	ING	VERB	VB	feel	0	No	NA	NA	NA
